,ring_id,datetime_trunc,year,reporting_type,dt,time,layer_1_vout,layer_1_concentration,layer_1_setpoint,layer_2_vout,layer_2_concentration,layer_2_setpoint,wind_speed,wind_direction,sector,O3_on,leaf_wetness,file_source,number_of_records,datetime,Range_flag,evaluator,replacement_value,explanation
271469,1, 2019-09-01 17:24:00 ,2019,M,9/1/2019,17:24:16,0,368,600,0,0,0,1.5,-14,1,0,4.4,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090119.csv,822, 2019-09-01 17:24:16 ,wind_direction,YF,0,Inevitable negative value
271481,1, 2019-09-01 17:36:00 ,2019,M,9/1/2019,17:36:16,0,372,600,0,0,0,2.3,-19,1,0,4.42,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090119.csv,822, 2019-09-01 17:36:16 ,wind_direction,YF,0,Inevitable negative value
271560,1, 2019-09-01 18:55:00 ,2019,M,9/1/2019,18:55:16,0,394,600,0,0,0,1.8,-11,1,0,4.42,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090119.csv,822, 2019-09-01 18:55:16 ,wind_direction,YF,0,Inevitable negative value
272260,1, 2019-09-02 06:35:00 ,2019,M,9/2/2019,6:35:16,0,415,600,0,0,0,0.9,-27,1,0,4.37,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090219.csv,1439, 2019-09-02 06:35:16 ,wind_direction,YF,0,Inevitable negative value
272272,1, 2019-09-02 06:47:00 ,2019,M,9/2/2019,6:47:16,0,413,600,0,0,0,0.2,-33,1,0,4.33,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090219.csv,1439, 2019-09-02 06:47:16 ,wind_direction,YF,0,Inevitable negative value
272304,1, 2019-09-02 07:19:00 ,2019,M,9/2/2019,7:19:16,0,386,600,0,0,0,1.2,-12,1,0,4.26,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090219.csv,1439, 2019-09-02 07:19:16 ,wind_direction,YF,0,Inevitable negative value
272396,1, 2019-09-02 08:51:00 ,2019,M,9/2/2019,8:51:17,1.91,606,600,0,0,0,1.9,-13,1,0,1.79,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090219.csv,1439, 2019-09-02 08:51:17 ,wind_direction,YF,0,Inevitable negative value
272453,1, 2019-09-02 09:48:00 ,2019,M,9/2/2019,9:48:17,2.31,602,600,0,0,0,1,-24,1,0,1.92,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090219.csv,1439, 2019-09-02 09:48:17 ,wind_direction,YF,0,Inevitable negative value
275249,1, 2019-09-04 08:24:00 ,2019,M,9/4/2019,8:24:12,0,0,600,0,0,0,3.8,-12,1,0,1.58,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090419.csv,944, 2019-09-04 08:24:12 ,wind_direction,YF,0,Inevitable negative value
275743,1, 2019-09-04 16:38:00 ,2019,M,9/4/2019,16:38:14,2.13,609,600,0,0,0,2.7,-19,1,0,1.91,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090419.csv,944, 2019-09-04 16:38:14 ,wind_direction,YF,0,Inevitable negative value
275775,1, 2019-09-04 17:10:00 ,2019,M,9/4/2019,17:10:14,0,372,600,0,0,0,2.6,-18,1,0,1.45,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090419.csv,944, 2019-09-04 17:10:14 ,wind_direction,YF,0,Inevitable negative value
275793,1, 2019-09-04 17:28:00 ,2019,M,9/4/2019,17:28:14,0,377,600,0,0,0,2.3,-19,1,0,1.4,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090419.csv,944, 2019-09-04 17:28:14 ,wind_direction,YF,0,Inevitable negative value
275804,1, 2019-09-04 17:39:00 ,2019,M,9/4/2019,17:39:14,0,379,600,0,0,0,2.2,-13,1,0,1.44,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090419.csv,944, 2019-09-04 17:39:14 ,wind_direction,YF,0,Inevitable negative value
275822,1, 2019-09-04 17:57:00 ,2019,M,9/4/2019,17:57:14,0,386,600,0,0,0,1.8,-23,1,0,1.45,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090419.csv,944, 2019-09-04 17:57:14 ,wind_direction,YF,0,Inevitable negative value
275860,1, 2019-09-04 18:35:00 ,2019,M,9/4/2019,18:35:14,0,409,600,0,0,0,1.2,-10,1,0,1.48,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090419.csv,944, 2019-09-04 18:35:14 ,wind_direction,YF,0,Inevitable negative value
275862,1, 2019-09-04 18:37:00 ,2019,M,9/4/2019,18:37:14,0,421,600,0,0,0,1,-12,1,0,1.47,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090419.csv,944, 2019-09-04 18:37:14 ,wind_direction,YF,0,Inevitable negative value
275904,1, 2019-09-04 19:19:00 ,2019,M,9/4/2019,19:19:14,0,431,600,0,0,0,1.2,-10,1,0,1.51,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090419.csv,944, 2019-09-04 19:19:14 ,wind_direction,YF,0,Inevitable negative value
275950,1, 2019-09-04 20:05:00 ,2019,M,9/4/2019,20:05:14,0,461,600,0,0,0,1.2,-18,1,0,1.5,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090419.csv,944, 2019-09-04 20:05:14 ,wind_direction,YF,0,Inevitable negative value
275999,1, 2019-09-04 20:54:00 ,2019,M,9/4/2019,20:54:14,0,413,600,0,0,0,1.4,-10,1,0,1.53,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090419.csv,944, 2019-09-04 20:54:14 ,wind_direction,YF,0,Inevitable negative value
276480,1, 2019-09-05 04:55:00 ,2019,M,9/5/2019,4:55:14,0,668,600,0,0,0,0,-16,1,0,1.59,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090519.csv,1440, 2019-09-05 04:55:14 ,wind_direction,YF,0,Inevitable negative value
276530,1, 2019-09-05 05:45:00 ,2019,M,9/5/2019,5:45:14,0,544,600,0,0,0,0,-30,1,0,1.55,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090519.csv,1440, 2019-09-05 05:45:14 ,wind_direction,YF,0,Inevitable negative value
276824,1, 2019-09-05 10:39:00 ,2019,M,9/5/2019,10:39:16,3.26,674,600,0,0,0,1.3,-13,1,0,2.3,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090519.csv,1440, 2019-09-05 10:39:16 ,wind_direction,YF,0,Inevitable negative value
276841,1, 2019-09-05 10:56:00 ,2019,M,9/5/2019,10:56:16,3.69,657,600,0,0,0,2.3,-18,8,0,2.45,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090519.csv,1440, 2019-09-05 10:56:16 ,wind_direction,YF,0,Inevitable negative value
276956,1, 2019-09-05 12:51:00 ,2019,M,9/5/2019,12:51:16,0,370,600,0,0,0,1.5,-8,2,0,4.11,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090519.csv,1440, 2019-09-05 12:51:16 ,wind_direction,YF,0,Inevitable negative value
278632,1, 2019-09-06 16:47:00 ,2019,M,9/6/2019,16:47:17,3.53,560,600,0,0,0,4.9,-17,1,0,2.41,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090619.csv,1439, 2019-09-06 16:47:17 ,wind_direction,YF,0,Inevitable negative value
278671,1, 2019-09-06 17:26:00 ,2019,M,9/6/2019,17:26:17,0,380,600,0,0,0,4.7,-22,1,0,1.04,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090619.csv,1439, 2019-09-06 17:26:17 ,wind_direction,YF,0,Inevitable negative value
278850,1, 2019-09-06 20:25:00 ,2019,M,9/6/2019,20:25:17,0,389,600,0,0,0,3,-17,1,0,1.11,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090619.csv,1439, 2019-09-06 20:25:17 ,wind_direction,YF,0,Inevitable negative value
278922,1, 2019-09-06 21:37:00 ,2019,M,9/6/2019,21:37:17,0,399,600,0,0,0,1.9,-8,1,0,1.11,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090619.csv,1439, 2019-09-06 21:37:17 ,wind_direction,YF,0,Inevitable negative value
278930,1, 2019-09-06 21:45:00 ,2019,M,9/6/2019,21:45:17,0,395,600,0,0,0,2.1,-10,1,0,1.1,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090619.csv,1439, 2019-09-06 21:45:17 ,wind_direction,YF,0,Inevitable negative value
278999,1, 2019-09-06 22:54:00 ,2019,M,9/6/2019,22:54:17,0,412,600,0,0,0,0.9,-13,1,0,1.18,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090619.csv,1439, 2019-09-06 22:54:17 ,wind_direction,YF,0,Inevitable negative value
279011,1, 2019-09-06 23:06:00 ,2019,M,9/6/2019,23:06:17,0,405,600,0,0,0,1.4,-12,1,0,1.14,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090619.csv,1439, 2019-09-06 23:06:17 ,wind_direction,YF,0,Inevitable negative value
279481,1, 2019-09-07 06:56:00 ,2019,M,9/7/2019,6:56:17,0,396,600,0,0,0,1.4,-9,1,0,0.98,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090719.csv,1440, 2019-09-07 06:56:17 ,wind_direction,YF,0,Inevitable negative value
279519,1, 2019-09-07 07:34:00 ,2019,M,9/7/2019,7:34:17,0,383,600,0,0,0,1.7,-37,1,0,0.97,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090719.csv,1440, 2019-09-07 07:34:17 ,wind_direction,YF,0,Inevitable negative value
279535,1, 2019-09-07 07:50:00 ,2019,M,9/7/2019,7:50:17,0,379,600,0,0,0,2.5,-38,1,0,0.99,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090719.csv,1440, 2019-09-07 07:50:17 ,wind_direction,YF,0,Inevitable negative value
279553,1, 2019-09-07 08:08:00 ,2019,M,9/7/2019,8:08:17,2.82,638,600,0,0,0,2.2,-29,1,0,2.11,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090719.csv,1440, 2019-09-07 08:08:17 ,wind_direction,YF,0,Inevitable negative value
279577,1, 2019-09-07 08:32:00 ,2019,M,9/7/2019,8:32:17,2.09,599,600,0,0,0,2.1,-24,1,0,1.9,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090719.csv,1440, 2019-09-07 08:32:17 ,wind_direction,YF,0,Inevitable negative value
279588,1, 2019-09-07 08:43:00 ,2019,M,9/7/2019,8:43:17,2.01,628,600,0,0,0,2.1,-21,1,0,1.88,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090719.csv,1440, 2019-09-07 08:43:17 ,wind_direction,YF,0,Inevitable negative value
279608,1, 2019-09-07 09:03:00 ,2019,M,9/7/2019,9:03:19,2.22,556,600,0,0,0,2.6,-12,1,0,1.85,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090719.csv,1440, 2019-09-07 09:03:19 ,wind_direction,YF,0,Inevitable negative value
280845,1, 2019-09-08 05:40:00 ,2019,M,9/8/2019,5:40:19,0,434,600,0,0,0,3.3,-16,7,0,4.5,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090819.csv,1440, 2019-09-08 05:40:19 ,wind_direction,YF,0,Inevitable negative value
280849,1, 2019-09-08 05:44:00 ,2019,M,9/8/2019,5:44:19,0,435,600,0,0,0,3.1,-14,7,0,4.53,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090819.csv,1440, 2019-09-08 05:44:19 ,wind_direction,YF,0,Inevitable negative value
280858,1, 2019-09-08 05:53:00 ,2019,M,9/8/2019,5:53:19,0,430,600,0,0,0,2.3,-20,7,0,4.52,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090819.csv,1440, 2019-09-08 05:53:19 ,wind_direction,YF,0,Inevitable negative value
281005,1, 2019-09-08 08:20:00 ,2019,M,9/8/2019,8:20:19,1,465,600,0,0,0,0,-10,2,0,1.42,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090819.csv,1440, 2019-09-08 08:20:19 ,wind_direction,YF,0,Inevitable negative value
281052,1, 2019-09-08 09:07:00 ,2019,M,9/8/2019,9:07:19,0,369,600,0,0,0,1.8,-38,1,0,2.17,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_090819.csv,1440, 2019-09-08 09:07:19 ,wind_direction,YF,0,Inevitable negative value
283577,1, 2019-09-10 03:12:00 ,2019,M,9/10/2019,3:12:24,0,734,600,0,0,0,0,-22,4,0,0.98,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_091019.csv,1436, 2019-09-10 03:12:24 ,wind_direction,YF,0,Inevitable negative value
491207,3, 2019-07-04 07:38:00 ,2019,M,7/4/2019,7:38:19,0,7,600,0,0,0,1.3,-295128,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R16/Avg_070419.csv,215, 2019-07-04 07:38:19 ,wind_direction,YF,NA,Sensor just start
160250,1, 2019-06-16 11:45:00 ,2019,M,6/16/2019,11:45:48,0.81,582,600,0,0,0,2.3,368,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_061619.csv,1009, 2019-06-16 11:45:48 ,wind_direction,YF,0,Normal high value
160660,1, 2019-06-16 18:35:00 ,2019,M,6/16/2019,18:35:48,0,403,600,0,0,0,2.1,368,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_061619.csv,1009, 2019-06-16 18:35:48 ,wind_direction,YF,0,Normal high value
162561,1, 2019-06-18 02:16:00 ,2019,M,6/18/2019,2:16:46,0,442,600,0,0,0,1.9,368,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_061819.csv,1438, 2019-06-18 02:16:46 ,wind_direction,YF,0,Normal high value
163593,1, 2019-06-18 19:28:00 ,2019,M,6/18/2019,19:28:45,0,452,600,0,0,0,1.2,368,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_061819.csv,1438, 2019-06-18 19:28:45 ,wind_direction,YF,0,Normal high value
163926,1, 2019-06-19 01:01:00 ,2019,M,6/19/2019,1:01:45,0,474,600,0,0,0,0.4,368,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_061919.csv,1440, 2019-06-19 01:01:45 ,wind_direction,YF,0,Normal high value
165194,1, 2019-06-19 22:09:00 ,2019,M,6/19/2019,22:09:45,0,422,600,0,0,0,2,368,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_061919.csv,1440, 2019-06-19 22:09:45 ,wind_direction,YF,0,Normal high value
165202,1, 2019-06-19 22:17:00 ,2019,M,6/19/2019,22:17:45,0,419,600,0,0,0,2.6,368,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_061919.csv,1440, 2019-06-19 22:17:45 ,wind_direction,YF,0,Normal high value
165490,1, 2019-06-20 03:05:00 ,2019,M,6/20/2019,3:05:45,0,413,600,0,0,0,4.8,368,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_062019.csv,1440, 2019-06-20 03:05:45 ,wind_direction,YF,0,Normal high value
166308,1, 2019-06-20 16:43:00 ,2019,M,6/20/2019,16:43:44,1.39,576,600,0,0,0,3.1,368,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_062019.csv,1440, 2019-06-20 16:43:44 ,wind_direction,YF,0,Normal high value
166337,1, 2019-06-20 17:12:00 ,2019,M,6/20/2019,17:12:44,0,385,600,0,0,0,2.9,368,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_062019.csv,1440, 2019-06-20 17:12:44 ,wind_direction,YF,0,Normal high value
166419,1, 2019-06-20 18:34:00 ,2019,M,6/20/2019,18:34:44,0,395,600,0,0,0,2,368,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_062019.csv,1440, 2019-06-20 18:34:44 ,wind_direction,YF,0,Normal high value
166628,1, 2019-06-20 22:03:00 ,2019,M,6/20/2019,22:03:44,0,555,600,0,0,0,0,368,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_062019.csv,1440, 2019-06-20 22:03:44 ,wind_direction,YF,0,Normal high value
166634,1, 2019-06-20 22:09:00 ,2019,M,6/20/2019,22:09:44,0,549,600,0,0,0,0,368,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_062019.csv,1440, 2019-06-20 22:09:44 ,wind_direction,YF,0,Normal high value
166893,1, 2019-06-21 02:28:00 ,2019,M,6/21/2019,2:28:44,0,671,600,0,0,0,0,368,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_062119.csv,1439, 2019-06-21 02:28:44 ,wind_direction,YF,0,Normal high value
166894,1, 2019-06-21 02:29:00 ,2019,M,6/21/2019,2:29:44,0,671,600,0,0,0,0,368,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_062119.csv,1439, 2019-06-21 02:29:44 ,wind_direction,YF,0,Normal high value
166900,1, 2019-06-21 02:35:00 ,2019,M,6/21/2019,2:35:44,0,648,600,0,0,0,0,368,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_062119.csv,1439, 2019-06-21 02:35:44 ,wind_direction,YF,0,Normal high value
168238,1, 2019-06-22 00:53:00 ,2019,M,6/22/2019,0:53:36,0,418,600,0,0,0,0,368,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_062219.csv,1438, 2019-06-22 00:53:36 ,wind_direction,YF,0,Normal high value
185009,1, 2019-07-03 16:24:00 ,2019,M,7/3/2019,16:24:36,0,2,600,0,0,0,0,368,6,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_070319.csv,1434, 2019-07-03 16:24:36 ,wind_direction,YF,0,Normal high value
185053,1, 2019-07-03 17:08:00 ,2019,M,7/3/2019,17:08:36,0,2,600,0,0,0,1.6,368,6,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_070319.csv,1434, 2019-07-03 17:08:36 ,wind_direction,YF,0,Normal high value
185056,1, 2019-07-03 17:11:00 ,2019,M,7/3/2019,17:11:36,0,2,600,0,0,0,0.5,368,6,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_070319.csv,1434, 2019-07-03 17:11:36 ,wind_direction,YF,0,Normal high value
190146,1, 2019-07-07 06:01:00 ,2019,M,7/7/2019,6:01:04,0,443,600,0,0,0,4.3,368,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_070719.csv,1133, 2019-07-07 06:01:04 ,wind_direction,YF,0,Normal high value
190526,1, 2019-07-07 12:21:00 ,2019,M,7/7/2019,12:21:04,1.59,633,600,0,0,0,3.4,368,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_070719.csv,1133, 2019-07-07 12:21:04 ,wind_direction,YF,0,Normal high value
191538,1, 2019-07-08 05:13:00 ,2019,M,7/8/2019,5:13:04,0,446,600,0,0,0,1.5,368,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_070819.csv,1436, 2019-07-08 05:13:04 ,wind_direction,YF,0,Normal high value
192557,1, 2019-07-08 22:12:00 ,2019,M,7/8/2019,22:12:04,0,566,600,0,0,0,0.2,368,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_070819.csv,1436, 2019-07-08 22:12:04 ,wind_direction,YF,0,Normal high value
192558,1, 2019-07-08 22:13:00 ,2019,M,7/8/2019,22:13:04,0,577,600,0,0,0,0.2,368,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_070819.csv,1436, 2019-07-08 22:13:04 ,wind_direction,YF,0,Normal high value
192610,1, 2019-07-08 23:05:00 ,2019,M,7/8/2019,23:05:04,0,612,600,0,0,0,0,368,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_070819.csv,1436, 2019-07-08 23:05:04 ,wind_direction,YF,0,Normal high value
192614,1, 2019-07-08 23:09:00 ,2019,M,7/8/2019,23:09:04,0,588,600,0,0,0,0,368,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_070819.csv,1436, 2019-07-08 23:09:04 ,wind_direction,YF,0,Normal high value
192640,1, 2019-07-08 23:35:00 ,2019,M,7/8/2019,23:35:04,0,603,600,0,0,0,0,368,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_070819.csv,1436, 2019-07-08 23:35:04 ,wind_direction,YF,0,Normal high value
192830,1, 2019-07-09 02:45:00 ,2019,M,7/9/2019,2:45:04,0,565,600,0,0,0,0.2,368,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_070919.csv,1004, 2019-07-09 02:45:04 ,wind_direction,YF,0,Normal high value
192842,1, 2019-07-09 02:57:00 ,2019,M,7/9/2019,2:57:04,0,579,600,0,0,0,0.2,368,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_070919.csv,1004, 2019-07-09 02:57:04 ,wind_direction,YF,0,Normal high value
1965651,1, 2019-07-11 17:00:00 ,2019,M,7/11/2019,17:00:44,9.59,-2263,600,0,0,0,2.8,368,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_071119.csv,579, 2019-07-11 17:00:44 ,wind_direction,YF,0,Normal high value
198228,1, 2019-07-12 20:43:00 ,2019,M,7/12/2019,20:43:26,0,587,600,0,0,0,0.9,368,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_071219.csv,998, 2019-07-12 20:43:26 ,wind_direction,YF,0,Normal high value
198276,1, 2019-07-12 21:31:00 ,2019,M,7/12/2019,21:31:26,0,826,600,0,0,0,0,368,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_071219.csv,998, 2019-07-12 21:31:26 ,wind_direction,YF,0,Normal high value
198278,1, 2019-07-12 21:33:00 ,2019,M,7/12/2019,21:33:26,0,855,600,0,0,0,0,368,4,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_071219.csv,998, 2019-07-12 21:33:26 ,wind_direction,YF,0,Normal high value
211080,1, 2019-07-21 18:55:00 ,2019,M,7/21/2019,18:55:20,0,420,600,0,0,0,2.8,368,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072119.csv,1439, 2019-07-21 18:55:20 ,wind_direction,YF,0,Normal high value
211470,1, 2019-07-22 01:25:00 ,2019,M,7/22/2019,1:25:20,0,438,600,0,0,0,1.9,368,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv,1437, 2019-07-22 01:25:20 ,wind_direction,YF,0,Normal high value
211508,1, 2019-07-22 02:03:00 ,2019,M,7/22/2019,2:03:20,0,448,600,0,0,0,1.8,368,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv,1437, 2019-07-22 02:03:20 ,wind_direction,YF,0,Normal high value
211541,1, 2019-07-22 02:36:00 ,2019,M,7/22/2019,2:36:20,0,446,600,0,0,0,3,368,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv,1437, 2019-07-22 02:36:20 ,wind_direction,YF,0,Normal high value
211551,1, 2019-07-22 02:46:00 ,2019,M,7/22/2019,2:46:20,0,446,600,0,0,0,3,368,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv,1437, 2019-07-22 02:46:20 ,wind_direction,YF,0,Normal high value
211602,1, 2019-07-22 03:37:00 ,2019,M,7/22/2019,3:37:20,0,445,600,0,0,0,2.2,368,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv,1437, 2019-07-22 03:37:20 ,wind_direction,YF,0,Normal high value
211648,1, 2019-07-22 04:23:00 ,2019,M,7/22/2019,4:23:20,0,445,600,0,0,0,3.4,368,1,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv,1437, 2019-07-22 04:23:20 ,wind_direction,YF,0,Normal high value
212623,1, 2019-07-22 20:38:00 ,2019,M,7/22/2019,20:38:21,0,494,600,0,0,0,0,368,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv,1437, 2019-07-22 20:38:21 ,wind_direction,YF,0,Normal high value
212631,1, 2019-07-22 20:46:00 ,2019,M,7/22/2019,20:46:21,0,522,600,0,0,0,0,368,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv,1437, 2019-07-22 20:46:21 ,wind_direction,YF,0,Normal high value
212633,1, 2019-07-22 20:48:00 ,2019,M,7/22/2019,20:48:21,0,519,600,0,0,0,0,368,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv,1437, 2019-07-22 20:48:21 ,wind_direction,YF,0,Normal high value
212700,1, 2019-07-22 21:55:00 ,2019,M,7/22/2019,21:55:21,0,470,600,0,0,0,1,368,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv,1437, 2019-07-22 21:55:21 ,wind_direction,YF,0,Normal high value
212701,1, 2019-07-22 21:56:00 ,2019,M,7/22/2019,21:56:21,0,473,600,0,0,0,1.1,368,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv,1437, 2019-07-22 21:56:21 ,wind_direction,YF,0,Normal high value
212717,1, 2019-07-22 22:12:00 ,2019,M,7/22/2019,22:12:21,0,477,600,0,0,0,0.9,368,2,0,0.01,\\commons2.life.illinois.edu\soyface_fumigation_data\2019\/raw_data/R14/Avg_072219.csv,1437, 2019-07-22 22:12:21 ,wind_direction,YF,0,Normal high value
